Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Longest_Stint,Qualifying_Time(s),Starting_Pos,Race_Result,Tyre_Compound_HARD,Tyre_Compound_MEDIUM,Tyre_Compound_SOFT
NOR,84.391,80.794,80.443,33.216285714,20.360862068,42.638692307,92.236041666,16.0,79.475,6.0,5.0,0.0,1.0,0.0
NOR,84.391,80.794,80.443,33.216285714,20.360862068,42.638692307,92.236041666,16.0,79.475,6.0,5.0,0.0,1.0,0.0
OCO,82.161,81.179,80.983,39.771344827,20.526620689,45.612115384,102.046375,10.0,80.491,13.0,11.0,1.0,0.0,0.0
OCO,82.161,81.179,80.983,39.771344827,20.526620689,45.612115384,102.046375,10.0,80.491,13.0,11.0,0.0,1.0,0.0
OCO,82.161,81.179,80.983,39.771344827,20.526620689,45.612115384,102.046375,10.0,80.491,13.0,11.0,0.0,0.0,1.0
PER,84.62,91.561,84.397,40.0335,21.311,53.61,118.806,2.0,82.605,18.0,16.0,0.0,0.0,1.0
PER,84.62,91.561,84.397,40.0335,21.311,53.61,118.806,2.0,82.605,18.0,16.0,0.0,1.0,0.0
PER,84.62,91.561,84.397,40.0335,21.311,53.61,118.806,2.0,82.605,18.0,16.0,0.0,1.0,0.0
PIA,81.342,79.729,80.087,36.638115384,20.288807692,43.384,96.971181818,10.0,79.38,5.0,21.0,1.0,0.0,0.0
PIA,81.342,79.729,80.087,36.638115384,20.288807692,43.384,96.971181818,10.0,79.38,5.0,21.0,0.0,1.0,0.0
PIA,81.342,79.729,80.087,36.638115384,20.288807692,43.384,96.971181818,10.0,79.38,5.0,21.0,1.0,0.0,0.0
RUS,81.371,80.049,79.053,38.616071428,20.045714285,42.000041666,101.140833333,13.0,78.518,1.0,1.0,1.0,0.0,0.0
RUS,81.371,80.049,79.053,38.616071428,20.045714285,42.000041666,101.140833333,13.0,78.518,1.0,1.0,0.0,1.0,0.0
RUS,81.371,80.049,79.053,38.616071428,20.045714285,42.000041666,101.140833333,13.0,78.518,1.0,1.0,0.0,1.0,0.0
ALB,95.48,95.305,98.158,27.3006,31.527666666,49.645,108.9622,6.0,94.772,18.0,22.0,1.0,0.0,0.0
ALB,95.48,95.305,98.158,27.3006,31.527666666,49.645,108.9622,6.0,94.772,18.0,22.0,0.0,1.0,0.0
ALB,95.48,95.305,98.158,27.3006,31.527666666,49.645,108.9622,6.0,94.772,18.0,22.0,0.0,1.0,0.0
ALO,95.856,95.581,98.487,28.49,31.7466,48.075,107.56425,5.0,95.203,19.0,17.0,1.0,0.0,0.0
